sweep,N,L,rep,time_s
N,50,500,0,0.794807
N,50,500,1,0.910466
N,50,500,2,0.885026
N,50,500,3,0.87138
N,50,500,4,0.784326
N,50,500,5,0.792949
N,50,500,6,0.784617
N,50,500,7,0.883124
N,50,500,8,0.799855
N,50,500,9,0.799338
N,50,500,10,0.88213
N,50,500,11,0.800836
N,50,500,12,0.870832
N,50,500,13,0.892607
N,50,500,14,0.871015
N,50,500,15,0.79018
N,50,500,16,0.870861
N,50,500,17,0.888901
N,50,500,18,0.871742
N,50,500,19,0.885292
N,50,500,20,0.873745
N,50,500,21,0.792014
N,50,500,22,0.789252
N,50,500,23,0.79353
N,50,500,24,0.885843
N,50,500,25,0.786562
N,50,500,26,0.870033
N,50,500,27,0.788937
N,50,500,28,0.871048
N,50,500,29,0.798504
N,100,500,0,1.647254
N,100,500,1,1.664071
N,100,500,2,1.640567
N,100,500,3,1.666103
N,100,500,4,1.787328
N,100,500,5,1.633613
N,100,500,6,1.636861
N,100,500,7,1.675925
N,100,500,8,1.677946
N,100,500,9,1.654004
N,100,500,10,1.663214
N,100,500,11,1.658073
N,100,500,12,1.661623
N,100,500,13,1.630655
N,100,500,14,1.659312
N,100,500,15,1.658042
N,100,500,16,1.640439
N,100,500,17,1.728043
N,100,500,18,1.669055
N,100,500,19,1.711611
N,100,500,20,1.654909
N,100,500,21,1.667968
N,100,500,22,1.638861
N,100,500,23,1.643704
N,100,500,24,1.737354
N,100,500,25,1.654685
N,100,500,26,1.648909
N,100,500,27,1.647521
N,100,500,28,1.707946
N,100,500,29,1.665712
N,200,500,0,3.458775
N,200,500,1,3.530344
N,200,500,2,3.612012
N,200,500,3,3.449941
N,200,500,4,3.474906
N,200,500,5,3.425257
N,200,500,6,3.481567
N,200,500,7,3.442957
N,200,500,8,3.570344
N,200,500,9,3.460187
N,200,500,10,3.476614
N,200,500,11,3.48292
N,200,500,12,3.497165
N,200,500,13,3.466198
N,200,500,14,3.599494
N,200,500,15,3.564554
N,200,500,16,3.43909
N,200,500,17,3.495074
N,200,500,18,3.555547
N,200,500,19,3.474524
N,200,500,20,3.495223
N,200,500,21,3.445566
N,200,500,22,3.454696
N,200,500,23,3.485564
N,200,500,24,3.514863
N,200,500,25,3.486181
N,200,500,26,3.476501
N,200,500,27,3.443655
N,200,500,28,3.50942
N,200,500,29,3.450274
N,350,500,0,6.612595
N,350,500,1,6.215489
N,350,500,2,6.491353
N,350,500,3,6.352356
N,350,500,4,6.717254
N,350,500,5,6.65002
N,350,500,6,6.333096
N,350,500,7,6.425468
N,350,500,8,6.693626
N,350,500,9,6.906789
N,350,500,10,6.484793
N,350,500,11,6.536393
N,350,500,12,6.342841
N,350,500,13,6.505276
N,350,500,14,6.725736
N,350,500,15,6.621478
N,350,500,16,6.550188
N,350,500,17,6.940427
N,350,500,18,6.542304
N,350,500,19,6.719318
N,350,500,20,6.125493
N,350,500,21,6.12875
N,350,500,22,6.274316
N,350,500,23,6.416934
N,350,500,24,6.365943
N,350,500,25,6.216645
N,350,500,26,6.389811
N,350,500,27,6.553024
N,350,500,28,6.241682
N,350,500,29,6.244886
N,500,500,0,9.888898
N,500,500,1,9.684468
N,500,500,2,9.530539
N,500,500,3,9.499347
N,500,500,4,9.994091
N,500,500,5,9.98484
N,500,500,6,9.997956
N,500,500,7,10.32515
N,500,500,8,9.954804
N,500,500,9,10.458837
N,500,500,10,9.482005
N,500,500,11,10.051056
N,500,500,12,10.0408
N,500,500,13,10.557212
N,500,500,14,10.68117
N,500,500,15,10.082249
N,500,500,16,10.026601
N,500,500,17,10.052222
N,500,500,18,10.221847
N,500,500,19,10.409185
N,500,500,20,10.417607
N,500,500,21,10.835442
N,500,500,22,10.123894
N,500,500,23,10.502871
N,500,500,24,10.138123
N,500,500,25,11.055837
N,500,500,26,10.236103
N,500,500,27,10.548407
N,500,500,28,10.781171
N,500,500,29,9.615809
N,750,500,0,14.684768
N,750,500,1,18.804505
N,750,500,2,15.41931
N,750,500,3,18.248508
N,750,500,4,15.341117
N,750,500,5,16.832642
N,750,500,6,16.361389
N,750,500,7,14.730002
N,750,500,8,18.668879
N,750,500,9,19.501211
N,750,500,10,20.244769
N,750,500,11,20.394371
N,750,500,12,20.46396
N,750,500,13,16.060723
N,750,500,14,17.957537
N,750,500,15,20.030821
N,750,500,16,20.442925
N,750,500,17,20.397516
N,750,500,18,19.743546
N,750,500,19,19.867892
N,750,500,20,21.862098
N,750,500,21,21.13656
N,750,500,22,20.714728
N,750,500,23,21.341127
N,750,500,24,21.460182
N,750,500,25,20.497288
N,750,500,26,17.350705
N,750,500,27,17.045316
N,750,500,28,19.705687
N,750,500,29,20.16995
N,1000,500,0,28.623525
N,1000,500,1,20.605294
N,1000,500,2,22.2564
N,1000,500,3,27.847796
N,1000,500,4,27.304454
N,1000,500,5,22.936547
N,1000,500,6,28.568714
N,1000,500,7,22.66729
N,1000,500,8,22.840091
N,1000,500,9,23.557262
N,1000,500,10,22.73009
N,1000,500,11,22.353437
N,1000,500,12,27.899237
N,1000,500,13,21.540183
N,1000,500,14,30.733721
N,1000,500,15,30.60128
N,1000,500,16,30.46529
N,1000,500,17,22.891704
N,1000,500,18,29.349007
N,1000,500,19,32.595886
N,1000,500,20,29.150725
N,1000,500,21,27.573054
N,1000,500,22,27.567175
N,1000,500,23,22.607822
N,1000,500,24,27.487653
N,1000,500,25,28.658095
N,1000,500,26,22.67771
N,1000,500,27,23.941197
N,1000,500,28,22.112015
N,1000,500,29,26.431779
N,1500,500,0,31.249225
N,1500,500,1,38.145246
N,1500,500,2,37.125802
N,1500,500,3,37.616772
N,1500,500,4,38.034837
N,1500,500,5,32.329354
N,1500,500,6,32.00466
N,1500,500,7,33.910219
N,1500,500,8,37.50914
N,1500,500,9,31.808796
N,1500,500,10,37.077832
N,1500,500,11,37.011955
N,1500,500,12,35.870407
N,1500,500,13,31.951105
N,1500,500,14,35.616033
N,1500,500,15,37.250405
N,1500,500,16,32.74396
N,1500,500,17,30.916821
N,1500,500,18,36.658882
N,1500,500,19,36.559988
N,1500,500,20,30.214458
N,1500,500,21,30.116112
N,1500,500,22,29.932437
N,1500,500,23,29.649589
N,1500,500,24,34.151048
N,1500,500,25,31.569934
N,1500,500,26,34.800991
N,1500,500,27,34.492052
N,1500,500,28,34.269625
N,1500,500,29,33.886565
N,2000,500,0,42.12908
N,2000,500,1,42.61972
N,2000,500,2,41.587981
N,2000,500,3,41.314614
N,2000,500,4,41.279428
N,2000,500,5,41.081839
N,2000,500,6,40.84036
N,2000,500,7,40.429313
N,2000,500,8,41.162408
N,2000,500,9,40.506071
N,2000,500,10,38.381323
N,2000,500,11,38.057172
N,2000,500,12,37.797778
N,2000,500,13,39.791557
N,2000,500,14,37.253752
N,2000,500,15,38.722601
N,2000,500,16,38.610559
N,2000,500,17,35.28883
N,2000,500,18,36.863504
N,2000,500,19,38.150986
N,2000,500,20,38.548366
N,2000,500,21,38.331645
N,2000,500,22,38.225827
N,2000,500,23,36.582916
N,2000,500,24,38.384872
N,2000,500,25,37.360232
N,2000,500,26,37.554233
N,2000,500,27,38.238517
N,2000,500,28,38.168447
N,2000,500,29,38.132232
