sweep,N,L,rep,time_s
L,50,500,0,1.017087
L,50,500,1,0.918165
L,50,500,2,0.933946
L,50,500,3,0.972011
L,50,500,4,0.800901
L,50,500,5,0.816858
L,50,500,6,0.825401
L,50,500,7,0.874099
L,50,500,8,0.851689
L,50,500,9,0.881522
L,50,500,10,0.890447
L,50,500,11,0.874421
L,50,500,12,0.865743
L,50,500,13,0.837611
L,50,500,14,0.870164
L,50,500,15,0.810479
L,50,500,16,0.87201
L,50,500,17,0.837238
L,50,500,18,0.808019
L,50,500,19,0.788487
L,50,500,20,0.807885
L,50,500,21,0.799918
L,50,500,22,0.84724
L,50,500,23,0.81193
L,50,500,24,0.829416
L,50,500,25,0.93865
L,50,500,26,1.037129
L,50,500,27,0.806991
L,50,500,28,0.829083
L,50,500,29,0.87832
L,50,1000,0,1.968255
L,50,1000,1,2.090618
L,50,1000,2,1.88164
L,50,1000,3,1.869351
L,50,1000,4,1.84035
L,50,1000,5,1.929533
L,50,1000,6,1.611989
L,50,1000,7,1.657905
L,50,1000,8,2.08676
L,50,1000,9,1.853852
L,50,1000,10,1.622644
L,50,1000,11,1.813241
L,50,1000,12,1.679741
L,50,1000,13,1.811422
L,50,1000,14,1.55764
L,50,1000,15,1.457538
L,50,1000,16,1.604631
L,50,1000,17,1.575405
L,50,1000,18,1.678812
L,50,1000,19,1.611957
L,50,1000,20,1.549228
L,50,1000,21,1.976847
L,50,1000,22,1.562123
L,50,1000,23,1.599081
L,50,1000,24,1.757076
L,50,1000,25,1.606187
L,50,1000,26,1.717027
L,50,1000,27,1.587492
L,50,1000,28,1.655834
L,50,1000,29,1.533537
L,50,1500,0,2.455726
L,50,1500,1,2.534623
L,50,1500,2,2.439542
L,50,1500,3,2.42219
L,50,1500,4,2.514789
L,50,1500,5,2.43806
L,50,1500,6,2.31881
L,50,1500,7,2.416928
L,50,1500,8,2.422098
L,50,1500,9,2.444299
L,50,1500,10,2.467214
L,50,1500,11,2.489447
L,50,1500,12,2.427171
L,50,1500,13,2.50799
L,50,1500,14,2.362442
L,50,1500,15,2.533177
L,50,1500,16,2.572881
L,50,1500,17,2.501608
L,50,1500,18,2.48036
L,50,1500,19,2.554605
L,50,1500,20,2.510497
L,50,1500,21,2.492017
L,50,1500,22,2.440923
L,50,1500,23,2.573861
L,50,1500,24,2.388444
L,50,1500,25,2.490053
L,50,1500,26,2.540629
L,50,1500,27,2.421989
L,50,1500,28,2.417232
L,50,1500,29,2.388451
L,50,2000,0,3.398385
L,50,2000,1,3.258109
L,50,2000,2,3.405798
L,50,2000,3,3.410209
L,50,2000,4,3.435058
L,50,2000,5,3.288357
L,50,2000,6,3.483225
L,50,2000,7,3.570594
L,50,2000,8,3.480452
L,50,2000,9,3.472344
L,50,2000,10,3.477366
L,50,2000,11,3.377674
L,50,2000,12,3.391732
L,50,2000,13,3.417198
L,50,2000,14,3.201285
L,50,2000,15,3.356834
L,50,2000,16,3.40519
L,50,2000,17,3.33356
L,50,2000,18,3.347157
L,50,2000,19,3.40856
L,50,2000,20,3.252152
L,50,2000,21,3.351453
L,50,2000,22,3.296374
L,50,2000,23,3.283614
